win%,k/d,dmg/rnd,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,rank_Ascendant,rank_Bronze,rank_Diamond,rank_Gold,rank_Immortal,rank_Iron,rank_Platinum,rank_Radiant,rank_Silver,rank_Unranked,performance,skill,consistency,dmg_indicator
65.4,0.525,0.5591666666666666,0.1637037037037037,0.4,0.1585714285714285,0.1416666666666666,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.5483757810816635,0.3583999999999999,0.502262443438914,0.5148666666666667
58.3,0.545,0.5333333333333333,0.1992592592592592,0.55625,0.2014285714285714,0.18075,0.64,False,False,True,False,False,False,False,False,False,False,0.737287845325274,0.7968000000000001,0.4955248169243287,0.6553
43.5,0.53,0.6675,0.8955555555555555,0.54375,0.8542857142857143,0.960625,0.72,False,False,False,False,False,False,True,False,False,False,0.4169535080304312,0.4704,0.4378698224852071,0.4855333333333333
50.8,0.61,0.6566666666666667,0.3607407407407407,0.50625,0.3371428571428571,0.3430416666666667,0.64,False,False,False,True,False,False,False,False,False,False,0.4461185695161599,0.5068,0.4538152610441767,0.4909666666666666
51.4,0.48,0.5041666666666667,0.3125925925925926,0.503125,0.2871428571428571,0.255,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.8109031198686372,0.8896000000000001,0.5172413793103449,0.6776
45.5,0.56,0.7441666666666668,0.0214814814814814,0.284375,0.0128571428571428,0.015875,0.5599999999999999,False,False,False,False,False,True,False,False,False,False,0.4699645888915839,0.3332,0.4957555178268251,0.4662666666666666
55.1,0.455,0.4016666666666665,0.3096296296296296,0.596875,0.3171428571428571,0.2551666666666666,0.5599999999999999,False,False,True,False,False,False,False,False,False,False,0.7665399325084364,0.2592,0.4803149606299212,0.6973666666666667
53.1,0.525,0.5474999999999999,0.5696296296296296,0.540625,0.5385714285714286,0.531,0.64,False,False,False,False,False,False,True,False,False,False,0.4993050903119869,0.3888,0.496551724137931,0.4862
42.4,0.475,0.475,0.3392592592592592,0.3875,0.3185714285714285,0.3115416666666666,0.64,False,False,False,True,False,False,False,False,False,False,0.5702103132432569,0.7296,0.5132837407013815,0.5187
50.7,0.52,0.6474999999999999,0.38,0.5875,0.3628571428571429,0.3540833333333333,0.64,False,False,False,False,False,False,True,False,False,False,0.5237904514211406,0.5536000000000001,0.4902470741222366,0.5099333333333333
40.0,0.495,0.4933333333333332,0.2244444444444444,0.4875,0.2142857142857142,0.225625,0.72,False,False,False,False,False,False,True,False,False,False,0.3754561172161172,0.4955999999999999,0.5107692307692308,0.3878
57.0,0.55,0.58,0.7570370370370371,0.41875,0.75,0.673625,0.64,False,False,True,False,False,False,False,False,False,False,0.4778046811945117,0.4311999999999999,0.5012106537530266,0.4666666666666667
46.2,0.47,0.5575,0.4903703703703703,0.65625,0.4828571428571429,0.4555,0.64,False,False,False,False,False,False,True,False,False,False,0.3841194457716196,0.5888,0.4983277591973244,0.4035666666666666
44.8,0.39,0.3058333333333333,0.0237037037037037,0.415625,0.0185714285714285,0.0150833333333333,0.48,False,True,False,False,False,False,False,False,False,False,0.7573430040396623,0.6816000000000001,0.4948586118251928,0.6703666666666667
51.2,0.7,0.6683333333333332,0.2118518518518518,0.684375,0.2114285714285714,0.234375,0.72,True,False,False,False,False,False,False,False,False,False,0.4343033509700176,0.4640000000000001,0.4629629629629629,0.4723333333333332
66.7,0.55,0.4758333333333333,0.257037037037037,0.44375,0.2557142857142857,0.204,0.5599999999999999,False,False,True,False,False,False,False,False,False,False,0.4361463971679798,0.3968,0.4760191846522781,0.4607333333333333
62.5,0.545,0.4825,0.194074074074074,0.621875,0.1971428571428571,0.18725,0.64,False,False,False,False,False,False,True,False,False,False,0.4740066445182725,0.5264,0.5116279069767442,0.4545666666666667
58.1,0.495,0.5125,0.5148148148148148,0.609375,0.51,0.4517083333333333,0.64,False,False,False,True,False,False,False,False,False,False,0.3896480331262939,0.5348,0.5217391304347826,0.3891666666666666
53.3,0.475,0.5083333333333333,0.4185185185185185,0.6375,0.4057142857142857,0.3042916666666667,0.48,False,False,False,True,False,False,False,False,False,False,0.5930734643299699,0.5696000000000001,0.5241635687732342,0.5232
47.4,0.47,0.4066666666666668,0.2214814814814814,0.575,0.2128571428571428,0.2109583333333333,0.64,False,False,True,False,False,False,False,False,False,False,0.3059714115036696,0.5856,0.4847670250896057,0.3584333333333333
53.8,0.465,0.3741666666666667,0.6785185185185185,0.396875,0.6442857142857142,0.5227916666666667,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,0.2974801430453604,0.2376,0.5059288537549407,0.3375666666666666
53.2,0.505,0.5474999999999999,0.5666666666666667,0.3875,0.5414285714285715,0.4418333333333333,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,0.645780401416765,0.7008,0.5289256198347108,0.5533666666666667
43.5,0.635,0.8708333333333333,0.4118518518518518,0.440625,0.4028571428571428,0.406125,0.72,False,False,False,False,False,False,False,False,True,False,0.4853904761904761,0.4816,0.4933333333333333,0.4795
65.3,0.56,0.5575,0.4014814814814815,0.646875,0.3942857142857143,0.379375,0.64,False,False,False,False,True,False,False,False,False,False,0.3542125181950509,0.3555999999999999,0.4923580786026201,0.3872
50.0,0.675,0.8424999999999999,0.2244444444444444,0.73125,0.2228571428571428,0.24775,0.72,False,False,True,False,False,False,False,False,False,False,0.3766904761904762,0.384,0.5060975609756098,0.3922333333333333
44.4,0.425,0.375,0.1474074074074074,0.4375,0.1528571428571428,0.1051666666666666,0.48,False,False,False,True,False,False,False,False,False,False,0.2445917547741988,0.54,0.4810671256454389,0.3165333333333333
42.6,0.605,0.6983333333333335,0.5088888888888888,0.53125,0.4614285714285714,0.461,0.64,False,False,False,False,False,False,False,False,True,False,0.7036792803363646,0.5184000000000001,0.4845995893223819,0.6458
45.0,0.53,0.5458333333333333,0.494074074074074,0.525,0.4728571428571428,0.457625,0.64,False,False,True,False,False,False,False,False,False,False,0.4687238095238095,0.3387999999999999,0.4666666666666667,0.4943999999999999
54.8,0.58,0.6933333333333332,0.5844444444444444,0.434375,0.5642857142857143,0.527,0.64,False,False,False,False,False,False,True,False,False,False,0.6996911049149857,0.4640000000000001,0.4994259471871412,0.6238333333333334
40.5,0.49,0.385,0.1637037037037037,0.453125,0.1557142857142857,0.1228333333333333,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.6257703081232493,0.4955999999999999,0.5026737967914439,0.5683333333333334
46.3,0.535,0.4900000000000001,0.1837037037037037,0.409375,0.17,0.1543333333333333,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.3895820668693009,0.2423999999999999,0.5053191489361702,0.4017666666666666
50.9,0.605,0.7333333333333333,0.1288888888888889,0.86875,0.1285714285714285,0.1232083333333333,0.64,False,False,False,False,False,False,False,False,True,False,0.5347985347985347,0.4368,0.486854917234664,0.5214
53.1,0.47,0.4875,0.8837037037037037,0.70625,0.8371428571428572,0.725625,0.5599999999999999,True,False,False,False,False,False,False,False,False,False,0.4352708490803729,0.434,0.5343915343915344,0.4098333333333333
51.1,0.505,0.4783333333333334,0.1533333333333333,0.390625,0.1385714285714285,0.1175,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.6794798240581376,0.5264,0.5020080321285141,0.6065333333333334
46.7,0.615,0.6341666666666667,0.1718518518518518,0.6,0.1728571428571428,0.1648333333333333,0.64,True,False,False,False,False,False,False,False,False,False,0.4035748975086722,0.5711999999999999,0.5364238410596026,0.3876
60.0,0.415,0.35,0.4111111111111111,0.49375,0.4128571428571428,0.330875,0.5599999999999999,False,False,True,False,False,False,False,False,False,False,0.5294833646299774,0.5264,0.4954499494438827,0.5086
59.1,0.635,0.6474999999999999,0.1088888888888888,0.33125,0.0957142857142857,0.0933333333333333,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.1450952380952381,0.496,0.5370370370370371,0.2187
49.0,0.51,0.4241666666666667,0.4148148148148148,0.4,0.3742857142857143,0.3105416666666666,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.3116969540969541,0.4424,0.5207207207207207,0.3375333333333333
45.7,0.55,0.6099999999999999,0.1362962962962963,0.475,0.1328571428571428,0.1197083333333333,0.64,False,False,False,False,False,False,False,False,True,False,0.5039477124183007,0.3248,0.4509803921568627,0.5389333333333334
57.6,0.535,0.5058333333333332,0.894074074074074,0.715625,0.88,0.834375,0.64,False,False,False,False,True,False,False,False,False,False,0.3818571428571429,0.36,0.4722222222222222,0.4242
